ID,Gender,Age,Diagnosis,Income,Education,Ethnicity,Password,Email
22222222,Prefer not to say,16-25,Autistic,20-30K,Foundation Degree,Other ethnic group,111,1@email.co.uk1
11111111,Female,66+,Autistic,0-20K,Post Graduate Certificate (PGCert),Asian/Asian British,112,1@email.co.uk2
12077101,Male,26-35,Autistic,20-30K,Post Graduate Diploma (PGDip),Other ethnic group,113,1@email.co.uk3
38961843,Male,66+,Autistic,20-30K,A/AS-Level,Asian/Asian British,114,1@email.co.uk4
67611589,Non-binary,26-35,Autistic,20-30K,A/AS-Level,Black/African/Caribbean/Black British,115,1@email.co.uk5
32500162,Female,16-25,Autistic,20-30K,Foundation Degree,Asian/Asian British,116,1@email.co.uk6
90705766,Female,56-65,Autistic,0-20K,"Bachelor's Degree (e.g. BSc, BA, BEd)",Black/African/Caribbean/Black British,117,1@email.co.uk7
46465154,Female,36-45,Autistic,20-30K,BTEC,Asian/Asian British,118,1@email.co.uk8
36480781,Male,26-35,Autistic,0-20K,"Bachelor's Degree (e.g. BSc, BA, BEd)",Black/African/Caribbean/Black British,119,1@email.co.uk9
86004302,Prefer not to say,36-45,Autistic,0-20K,GCSEs,Other ethnic group,120,1@email.co.uk10
74046800,Male,56-65,Autistic,0-20K,"Masters Degree (MA, MSc, MEd)",Asian/Asian British,121,1@email.co.uk11
67512682,Male,66+,Autistic,0-20K,GCSEs,Black/African/Caribbean/Black British,122,1@email.co.uk12
87436666,Male,16-25,Autistic,0-20K,Post Graduate Certificate (PGCert),Other ethnic group,123,1@email.co.uk13
28755653,Male,56-65,Autistic,0-20K,GCSEs,Other ethnic group,124,1@email.co.uk14
66722819,Male,56-65,Autistic,0-20K,BTEC,Black/African/Caribbean/Black British,125,1@email.co.uk15
65438804,Prefer not to say,66+,Autistic,20-30K,"Masters Degree (MA, MSc, MEd)",Asian/Asian British,126,1@email.co.uk16
15938146,Male,66+,Autistic,20-30K,Foundation Degree,Other ethnic group,127,1@email.co.uk17
37603401,Prefer not to say,66+,Autistic,0-20K,"Masters Degree (MA, MSc, MEd)",Asian/Asian British,128,1@email.co.uk18
23337145,Non-binary,36-45,Autistic,20-30K,"Masters Degree (MA, MSc, MEd)",Asian/Asian British,129,1@email.co.uk19
99599196,Non-binary,66+,Autistic,0-20K,"Masters Degree (MA, MSc, MEd)",Black/African/Caribbean/Black British,130,1@email.co.uk20
25718877,Prefer not to say,36-45,Autistic,20-30K,"Bachelor's Degree (e.g. BSc, BA, BEd)",Black/African/Caribbean/Black British,131,1@email.co.uk21
97909632,Prefer not to say,46-55,Autistic,0-20K,GCSEs,Black/African/Caribbean/Black British,132,1@email.co.uk22
40268226,Female,66+,Autistic,20-30K,"Bachelor's Degree (e.g. BSc, BA, BEd)",Black/African/Caribbean/Black British,133,1@email.co.uk23
63985686,Prefer not to say,56-65,Autistic,20-30K,GCSEs,Other ethnic group,134,1@email.co.uk24
63237915,Non-binary,46-55,Autistic,0-20K,"Masters Degree (MA, MSc, MEd)",Asian/Asian British,135,1@email.co.uk25
50544037,Prefer not to say,66+,Autistic,0-20K,Post Graduate Diploma (PGDip),Asian/Asian British,136,1@email.co.uk26
14286843,Female,36-45,Autistic,20-30K,GCSEs,Other ethnic group,137,1@email.co.uk27
53175760,Male,66+,Autistic,20-30K,Post Graduate Certificate (PGCert),Other ethnic group,138,1@email.co.uk28
56361261,Non-binary,26-35,Autistic,0-20K,Post Graduate Diploma (PGDip),Asian/Asian British,139,1@email.co.uk29
66411825,Non-binary,56-65,Autistic,20-30K,Foundation Degree,Other ethnic group,140,1@email.co.uk30
34060153,Non-binary,56-65,Autistic,20-30K,Foundation Degree,Other ethnic group,141,1@email.co.uk31
11168511,Female,56-65,Autistic,0-20K,"Masters Degree (MA, MSc, MEd)",Black/African/Caribbean/Black British,142,1@email.co.uk32
85920205,Prefer not to say,26-35,Autistic,20-30K,Post Graduate Diploma (PGDip),Asian/Asian British,143,1@email.co.uk33
83766303,Prefer not to say,56-65,Autistic,20-30K,BTEC,Black/African/Caribbean/Black British,144,1@email.co.uk34
64793738,Non-binary,66+,Autistic,20-30K,"Bachelor's Degree (e.g. BSc, BA, BEd)",Black/African/Caribbean/Black British,145,1@email.co.uk35
59096037,Male,66+,Autistic,20-30K,BTEC,Asian/Asian British,146,1@email.co.uk36
77773077,Non-binary,26-35,Autistic,0-20K,Post Graduate Certificate (PGCert),Black/African/Caribbean/Black British,147,1@email.co.uk37
47375033,Prefer not to say,46-55,Autistic,20-30K,A/AS-Level,Asian/Asian British,148,1@email.co.uk38
39847852,Male,26-35,Autistic,20-30K,GCSEs,Asian/Asian British,149,1@email.co.uk39
